Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
llvmlibc-restrict-system-libc-headers	common.c	38	1	system include langinfo.h not allowed	clang_tidy_oss	38	22
clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling	common.c	64	5	Call to function 'strncpy' is insecure as it does not provide security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'strncpy_s' in case of C11	clang_tidy_oss	64	11
cert-err33-c	common.c	68	9	the value returned by this function should be used	clang_tidy_oss	68	9
readability-identifier-length	common.c	74	23	parameter name 'fp' is too short, expected at least 3 characters	clang_tidy_oss	74	23
bugprone-easily-swappable-parameters	common.c	74	64	2 adjacent parameters of 'd2u_fclose' of similar type ('const char *') are easily swapped by mistake	clang_tidy_oss	74	98
readability-identifier-length	common.c	74	76	parameter name 'm' is too short, expected at least 3 characters	clang_tidy_oss	74	76
cert-err33-c	common.c	79	7	the value returned by this function should be used	clang_tidy_oss	79	7
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	80	23	statement should be inside braces	clang_tidy_oss	80	23
cert-err33-c	common.c	81	9	the value returned by this function should be used	clang_tidy_oss	81	9
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	82	11	statement should be inside braces	clang_tidy_oss	82	11
cert-err33-c	common.c	83	9	the value returned by this function should be used	clang_tidy_oss	83	9
cert-err33-c	common.c	84	7	the value returned by this function should be used	clang_tidy_oss	84	7
concurrency-mt-unsafe	common.c	84	41	function is not thread safe	clang_tidy_oss	84	41
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	379	32	statement should be inside braces	clang_tidy_oss	379	32
llvm-else-after-return,readability-else-after-return	common.c	443	7	do not use 'else' after 'return'	clang_tidy_oss	443	10
concurrency-mt-unsafe	common.c	448	29	function is not thread safe	clang_tidy_oss	448	29
cert-err33-c	common.c	450	8	the value returned by this function should be used	clang_tidy_oss	450	8
cert-err33-c	common.c	451	8	the value returned by this function should be used	clang_tidy_oss	451	8
google-readability-braces-around-statements,hicpp-braces-around-statements,readability-braces-around-statements	common.c	481	32	statement should be inside braces	clang_tidy_oss	481	32
llvm-else-after-return,readability-else-after-return	common.c	483	7	do not use 'else' after 'return'	clang_tidy_oss	483	10
